full_name,age,positions,nationality,overall_rating,potential,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),work_rate,body_type,national_team,national_team_position,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,GK_diving,GK_handling,GK_kicking,GK_positioning,GK_reflexes,tags,traits,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,current_age
Dustin Bomheuer,27,"CB,LB",Germany,69,70,Right,1,3,2,Medium/ Medium,Normal,,,38,30,73,58,22,51,21,23,58,57,58,64,50,65,54,45,51,61,82,18,68,65,35,37,33,61,67,69,65,14,8,16,10,11,,,49+2,49+2,49+2,47+2,48+2,48+2,48+2,47+2,48+2,48+2,48+2,50+2,52+2,52+2,52+2,50+2,59+2,62+2,62+2,62+2,59+2,61+2,67+2,67+2,67+2,61+2,33
Nathan Byrne,26,"RB,RM",England,69,71,Right,1,3,3,High/ Medium,Lean,,,69,50,56,68,41,68,49,33,63,68,90,83,75,63,77,56,66,78,62,55,62,60,56,52,42,55,66,65,63,8,8,7,10,11,,Speed Dribbler (CPU AI Only),60+2,60+2,60+2,66+2,63+2,63+2,63+2,66+2,63+2,63+2,63+2,67+2,63+2,63+2,63+2,67+2,68+2,64+2,64+2,64+2,68+2,68+2,63+2,63+2,63+2,68+2,32
Anderson José Lopes de Souza,25,"ST,RW",Brazil,69,73,Left,1,4,4,Medium/ Medium,Normal,,,58,69,54,62,52,70,55,53,55,69,85,86,80,67,50,73,59,75,78,69,65,25,61,66,68,65,33,25,19,6,11,14,12,6,,Speed Dribbler (CPU AI Only),68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,67+2,67+2,67+2,68+2,60+2,60+2,60+2,68+2,52+2,49+2,49+2,49+2,52+2,49+2,44+2,44+2,44+2,49+2,31
Jannik Huth,24,GK,Germany,69,77,Right,1,4,1,Medium/ Medium,Normal,,,17,16,10,33,15,22,22,15,30,24,54,55,50,66,44,25,74,32,63,14,28,25,20,42,24,41,22,14,11,70,65,74,66,72,,"Puncher,Cautious With Crosses",,,,,,,,,,,,,,,,,,,,,,,,,,,30
Janis Blaswich,27,GK,Germany,69,73,Right,1,3,1,Medium/ Medium,Normal,,,20,18,15,38,13,19,29,8,34,31,45,38,31,53,33,32,73,31,74,16,39,19,11,41,30,54,10,15,13,70,70,67,65,77,,Cautious With Crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,33
Fabio Depaoli,21,"RM,CM,RB",Italy,69,82,Right,1,3,3,Medium/ Medium,Normal,,,72,50,59,70,48,70,72,44,69,72,74,73,69,67,70,62,34,60,40,47,62,57,59,64,70,63,60,64,65,8,10,5,6,13,,,60+2,60+2,60+2,66+2,64+2,64+2,64+2,66+2,65+2,65+2,65+2,67+2,65+2,65+2,65+2,67+2,66+2,63+2,63+2,63+2,66+2,65+2,59+2,59+2,59+2,65+2,27
Bruno Martella,26,"LB,LM",Italy,69,71,Left,1,2,3,High/ Medium,Normal,,,77,50,44,71,35,67,66,43,73,69,76,72,58,66,57,65,73,88,67,71,62,63,66,62,33,59,59,62,68,10,8,10,9,9,,,61+2,61+2,61+2,67+2,65+2,65+2,65+2,67+2,66+2,66+2,66+2,69+2,68+2,68+2,68+2,69+2,70+2,67+2,67+2,67+2,70+2,68+2,62+2,62+2,62+2,68+2,32
Pedro Filipe Figueiredo Rodrigues,21,"CM,CDM",Portugal,69,79,Right,1,3,3,High/ Medium,Normal,,,58,38,60,71,34,68,48,50,73,71,64,59,62,71,61,63,65,72,67,62,68,64,59,68,52,69,67,66,61,13,12,9,14,9,,"Long Passer (CPU AI Only),Long Shot Taker (CPU AI Only)",59+2,59+2,59+2,62+2,63+2,63+2,63+2,62+2,65+2,65+2,65+2,65+2,68+2,68+2,68+2,65+2,65+2,68+2,68+2,68+2,65+2,65+2,65+2,65+2,65+2,65+2,27
Elias Cobbaut,21,"LB,CB,LM",Belgium,69,77,Left,1,4,2,High/ High,Lean,,,70,26,65,65,33,61,62,34,67,66,57,72,56,65,59,45,60,78,77,36,72,67,52,47,42,57,62,70,69,10,12,7,7,7,,,53+2,53+2,53+2,57+2,54+2,54+2,54+2,57+2,56+2,56+2,56+2,61+2,61+2,61+2,61+2,61+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,27
Cameron Carter-Vickers,21,CB,United States,69,81,Right,1,3,2,Medium/ Medium,Normal,,,40,17,67,62,26,44,27,30,52,57,61,64,53,65,60,36,72,55,77,16,62,66,27,41,38,60,67,71,67,13,6,8,16,10,,,44+2,44+2,44+2,45+2,44+2,44+2,44+2,45+2,46+2,46+2,46+2,48+2,51+2,51+2,51+2,48+2,59+2,62+2,62+2,62+2,59+2,62+2,67+2,67+2,67+2,62+2,27
Nicola Dalmonte,21,"LW,LM,RW",Italy,69,82,Left,1,3,3,High/ Low,Lean,,,70,69,60,65,50,70,62,45,62,69,79,75,79,63,77,66,66,68,55,60,45,52,70,55,64,53,43,45,53,13,12,10,8,11,,,66+2,66+2,66+2,68+2,67+2,67+2,67+2,68+2,66+2,66+2,66+2,68+2,62+2,62+2,62+2,68+2,61+2,56+2,56+2,56+2,61+2,59+2,53+2,53+2,53+2,59+2,27
Luiz Fernando da Silva Monte,27,ST,Brazil,69,70,Right,1,3,3,Medium/ Low,Lean,,,29,73,77,66,62,64,60,32,54,65,68,59,60,64,35,67,67,70,75,53,70,17,66,50,68,61,33,16,21,8,7,13,12,11,,,67+2,67+2,67+2,60+2,64+2,64+2,64+2,60+2,62+2,62+2,62+2,60+2,56+2,56+2,56+2,60+2,44+2,46+2,46+2,46+2,44+2,42+2,44+2,44+2,44+2,42+2,33
Robin Pröpper,25,CB,Netherlands,69,73,Right,1,3,2,Medium/ High,Normal,,,40,44,70,65,34,51,64,67,68,62,50,50,60,60,55,76,72,69,79,63,66,66,36,59,44,63,72,67,65,11,8,6,14,14,,Leadership,56+2,56+2,56+2,52+2,54+2,54+2,54+2,52+2,56+2,56+2,56+2,54+2,60+2,60+2,60+2,54+2,60+2,66+2,66+2,66+2,60+2,61+2,67+2,67+2,67+2,61+2,31
Mohamed  Hamdy Sharaf,23,CB,Egypt,69,79,Right,1,3,2,Medium/ Medium,Normal,,,38,37,64,45,42,38,46,37,37,46,70,66,60,65,78,52,77,60,70,33,59,68,40,35,54,57,73,78,71,5,9,13,14,8,,Dives Into Tackles (CPU AI Only),49+2,49+2,49+2,45+2,46+2,46+2,46+2,45+2,44+2,44+2,44+2,46+2,46+2,46+2,46+2,46+2,59+2,58+2,58+2,58+2,59+2,62+2,67+2,67+2,67+2,62+2,29
Pierre-Yves Hamel,25,ST,France,69,74,Right,1,3,3,Medium/ Medium,Lean,,,40,77,74,57,45,63,42,33,44,67,64,56,57,67,71,71,73,63,59,66,33,17,71,48,67,58,20,21,24,11,14,13,13,13,,,68+2,68+2,68+2,62+2,65+2,65+2,65+2,62+2,61+2,61+2,61+2,59+2,54+2,54+2,54+2,59+2,43+2,41+2,41+2,41+2,43+2,42+2,38+2,38+2,38+2,42+2,31
Facundo Píriz,28,"CDM,CM",Uruguay,69,69,Right,1,3,2,Medium/ High,Normal,,,63,33,57,64,43,52,49,54,64,64,59,55,58,69,59,54,77,76,83,53,81,66,53,64,56,61,68,67,66,15,9,12,14,8,,,54+2,54+2,54+2,56+2,56+2,56+2,56+2,56+2,58+2,58+2,58+2,59+2,62+2,62+2,62+2,59+2,65+2,67+2,67+2,67+2,65+2,65+2,68+2,68+2,68+2,65+2,34
Daniel Keita-Ruel,29,"ST,CF",Germany,69,69,Right,1,4,2,High/ High,Normal,,,49,71,69,51,66,61,59,44,38,62,75,77,70,61,62,71,85,84,84,65,79,19,66,48,58,56,36,24,23,7,15,12,9,15,,Target Forward,67+2,67+2,67+2,62+2,63+2,63+2,63+2,62+2,59+2,59+2,59+2,60+2,52+2,52+2,52+2,60+2,48+2,45+2,45+2,45+2,48+2,46+2,46+2,46+2,46+2,46+2,35
Maksym Koval,26,GK,Ukraine,69,72,Right,1,2,1,Medium/ Medium,Normal,,,12,19,19,22,12,20,13,19,19,24,47,42,35,59,46,20,59,38,71,13,18,16,13,31,24,60,14,13,17,69,65,67,69,73,,Avoids Using Weaker Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,32
Ali Gholizadeh,22,"RM,LM",Iran,69,76,Left,1,3,3,Medium/ Medium,Normal,,,71,59,34,69,37,69,49,36,67,71,79,77,76,62,71,62,75,70,61,51,70,24,58,53,55,57,49,45,47,14,12,13,10,8,,Technical Dribbler (CPU AI Only),60+2,60+2,60+2,66+2,63+2,63+2,63+2,66+2,64+2,64+2,64+2,67+2,61+2,61+2,61+2,67+2,58+2,55+2,55+2,55+2,58+2,55+2,49+2,49+2,49+2,55+2,28
铃木 大輔,29,"CB,RB",Japan,69,69,Right,1,3,2,Medium/ Medium,Normal,,,58,28,70,66,38,58,35,40,63,62,69,70,68,70,71,51,74,82,72,25,65,66,41,54,42,58,68,68,65,15,9,7,11,9,,,52+2,52+2,52+2,55+2,54+2,54+2,54+2,55+2,56+2,56+2,56+2,59+2,60+2,60+2,60+2,59+2,66+2,66+2,66+2,66+2,66+2,67+2,67+2,67+2,67+2,67+2,35
Oussama Darfalou,25,ST,Algeria,69,74,Right,1,3,3,High/ Medium,Lean,,,50,69,67,62,67,66,51,38,48,68,74,79,67,64,62,68,76,68,75,65,51,21,68,47,61,66,25,18,20,11,10,14,12,12,,,68+2,68+2,68+2,65+2,65+2,65+2,65+2,65+2,63+2,63+2,63+2,63+2,56+2,56+2,56+2,63+2,47+2,44+2,44+2,44+2,47+2,45+2,41+2,41+2,41+2,45+2,31
Ezri Konsa,20,"CB,RB",England,69,80,Right,1,3,2,Medium/ High,Lean,,,38,34,58,73,35,66,37,38,62,68,74,78,68,70,75,51,70,70,70,32,60,66,50,55,38,70,69,69,70,14,8,11,13,9,,,56+2,56+2,56+2,59+2,59+2,59+2,59+2,59+2,61+2,61+2,61+2,61+2,63+2,63+2,63+2,61+2,66+2,67+2,67+2,67+2,66+2,66+2,67+2,67+2,67+2,66+2,26
Ventura Alvarado,26,"CB,RB",United States,69,73,Right,1,3,2,Medium/ High,Normal,,,56,33,68,63,49,44,54,29,59,51,54,67,62,65,56,56,74,66,77,48,64,66,23,52,34,56,68,72,69,11,15,12,10,10,,,49+2,49+2,49+2,49+2,48+2,48+2,48+2,49+2,50+2,50+2,50+2,51+2,55+2,55+2,55+2,51+2,62+2,64+2,64+2,64+2,62+2,64+2,68+2,68+2,68+2,64+2,32
Patricio Rodríguez,28,"LW,RW",Argentina,69,69,Right,1,4,3,High/ Low,Lean,,,71,63,40,68,70,72,72,69,69,70,78,77,82,64,82,65,72,65,34,60,26,42,66,66,71,63,16,31,29,14,7,12,8,11,,"Selfish,Technical Dribbler (CPU AI Only)",62+2,62+2,62+2,69+2,67+2,67+2,67+2,69+2,68+2,68+2,68+2,69+2,64+2,64+2,64+2,69+2,54+2,49+2,49+2,49+2,54+2,51+2,38+2,38+2,38+2,51+2,34
Felipe Castaldo Curcio,25,LB,Brazil,69,72,Left,1,3,3,High/ Medium,Lean,,,76,46,63,72,54,71,79,75,72,74,77,77,69,61,62,68,71,73,67,70,68,63,50,61,69,55,63,64,64,9,12,14,14,12,,"Set Play Specialist,Takes Finesse Free Kicks",62+2,62+2,62+2,66+2,64+2,64+2,64+2,66+2,66+2,66+2,66+2,68+2,67+2,67+2,67+2,68+2,69+2,67+2,67+2,67+2,69+2,68+2,65+2,65+2,65+2,68+2,31
Théo Valls,23,CM,France,69,74,Left,1,2,3,Medium/ Medium,Lean,,,59,58,54,70,52,68,52,49,65,70,67,67,65,67,65,62,65,67,67,66,59,68,56,72,50,70,60,70,64,9,9,8,16,13,,,62+2,62+2,62+2,65+2,65+2,65+2,65+2,65+2,66+2,66+2,66+2,65+2,67+2,67+2,67+2,65+2,66+2,67+2,67+2,67+2,66+2,65+2,64+2,64+2,64+2,65+2,29
Nicolas Haas,23,"CM,CDM",Switzerland,69,77,Right,1,4,3,Medium/ Medium,Lean,,,55,52,59,73,50,69,52,48,67,71,76,80,83,69,82,67,67,71,62,61,66,61,59,67,45,66,64,63,62,10,15,7,6,9,,,63+2,63+2,63+2,66+2,66+2,66+2,66+2,66+2,68+2,68+2,68+2,67+2,67+2,67+2,67+2,67+2,66+2,66+2,66+2,66+2,66+2,66+2,64+2,64+2,64+2,66+2,29
Justen Glad,22,CB,United States,69,77,Right,1,2,2,Medium/ High,Lean,,,27,25,61,69,29,41,23,21,63,56,74,73,50,64,67,34,74,75,74,25,72,72,21,42,38,63,67,68,64,10,16,10,10,6,,,45+2,45+2,45+2,46+2,46+2,46+2,46+2,46+2,49+2,49+2,49+2,50+2,55+2,55+2,55+2,50+2,62+2,66+2,66+2,66+2,62+2,63+2,67+2,67+2,67+2,63+2,28
Will Bruin,29,ST,United States,69,69,Right,1,3,2,High/ Medium,Normal,,,45,68,70,61,63,60,65,52,49,65,59,70,60,67,55,73,74,69,87,62,74,31,71,59,57,69,43,22,21,10,7,12,10,10,#Strength,Target Forward,68+2,68+2,68+2,62+2,65+2,65+2,65+2,62+2,62+2,62+2,62+2,61+2,57+2,57+2,57+2,61+2,48+2,50+2,50+2,50+2,48+2,46+2,49+2,49+2,49+2,46+2,35
Joe Benny Corona Crespín,28,"CM,CAM",United States,69,69,Right,1,3,3,Medium/ Medium,Normal,,,64,62,67,71,63,69,69,63,69,73,72,72,77,68,69,72,67,65,62,66,57,65,69,68,61,65,66,57,51,9,7,7,14,16,,Playmaker (CPU AI Only),67+2,67+2,67+2,68+2,69+2,69+2,69+2,68+2,69+2,69+2,69+2,68+2,68+2,68+2,68+2,68+2,65+2,65+2,65+2,65+2,65+2,64+2,62+2,62+2,62+2,64+2,34
Gianmarco Zigoni,27,ST,Italy,69,70,Right,1,4,3,High/ Low,Normal,,,40,70,72,59,63,67,48,41,35,69,63,69,63,60,49,71,79,65,82,53,48,30,71,51,64,65,30,42,34,7,7,14,7,7,,Power Header,68+2,68+2,68+2,62+2,65+2,65+2,65+2,62+2,61+2,61+2,61+2,60+2,55+2,55+2,55+2,60+2,49+2,48+2,48+2,48+2,49+2,48+2,49+2,49+2,49+2,48+2,33
Louis Elliott Moult,26,ST,England,69,72,Right,1,3,2,Medium/ Medium,Normal,,,30,69,73,63,72,61,60,66,38,68,65,68,66,64,64,68,83,67,77,66,66,24,68,50,70,70,48,36,28,7,14,10,16,13,,Target Forward,67+2,67+2,67+2,61+2,64+2,64+2,64+2,61+2,62+2,62+2,62+2,59+2,56+2,56+2,56+2,59+2,48+2,49+2,49+2,49+2,48+2,47+2,51+2,51+2,51+2,47+2,32
Joaquín Matías Ardaiz de los Santos,20,ST,Uruguay,69,82,Left,1,2,3,Medium/ Medium,Stocky,,,62,70,70,56,66,67,48,60,41,63,78,87,67,53,59,73,80,54,76,58,70,13,67,54,63,68,14,16,13,9,9,5,12,8,,"Avoids Using Weaker Foot,Beat Offside Trap",67+2,67+2,67+2,65+2,64+2,64+2,64+2,65+2,61+2,61+2,61+2,63+2,52+2,52+2,52+2,63+2,43+2,39+2,39+2,39+2,43+2,41+2,39+2,39+2,39+2,41+2,26
Ortwin De Wolf,21,GK,Belgium,69,77,Left,1,3,1,Medium/ Medium,Lean,,,11,8,12,22,9,9,10,10,21,18,33,37,39,59,22,19,53,23,62,8,26,9,7,33,16,29,11,10,14,67,70,76,69,71,,"Leadership,Rushes Out Of Goal,Comes For Crosses",,,,,,,,,,,,,,,,,,,,,,,,,,,27
Javier Muñoz Jiménez,24,CM,Spain,69,76,Right,1,4,3,Medium/ Low,Normal,,,52,60,43,70,43,69,67,38,73,70,66,68,60,63,72,66,49,72,62,70,59,59,66,69,43,52,60,62,60,6,10,8,7,8,,"Long Passer (CPU AI Only),Long Shot Taker (CPU AI Only)",62+2,62+2,62+2,65+2,66+2,66+2,66+2,65+2,67+2,67+2,67+2,66+2,68+2,68+2,68+2,66+2,63+2,65+2,65+2,65+2,63+2,62+2,59+2,59+2,59+2,62+2,30
Jack Hunt,28,"RB,RWB",England,69,69,Right,1,2,3,High/ Medium,Lean,,,67,47,59,62,32,68,61,29,59,65,85,81,72,66,68,70,82,74,64,50,60,65,65,54,48,67,66,69,67,15,15,6,14,8,,Speed Dribbler (CPU AI Only),62+2,62+2,62+2,64+2,63+2,63+2,63+2,64+2,62+2,62+2,62+2,66+2,62+2,62+2,62+2,66+2,68+2,64+2,64+2,64+2,68+2,68+2,65+2,65+2,65+2,68+2,34
Laurens De Bock,26,"LB,LWB,CB,LM",Belgium,69,71,Left,1,4,3,Medium/ High,Normal,,,70,36,65,61,37,63,72,70,63,64,67,72,72,65,73,68,74,75,77,43,79,65,60,62,63,67,64,69,70,10,13,12,8,12,,Early Crosser,58+2,58+2,58+2,60+2,59+2,59+2,59+2,60+2,60+2,60+2,60+2,63+2,62+2,62+2,62+2,63+2,67+2,66+2,66+2,66+2,67+2,67+2,68+2,68+2,68+2,67+2,32
Bruno Batista Pires,26,"CB,RB",Brazil,69,71,Right,1,3,2,High/ Low,Lean,,,43,49,71,65,42,48,31,31,55,64,67,67,65,68,67,56,70,71,78,34,70,67,31,46,62,64,66,69,59,11,9,9,14,7,,,55+2,55+2,55+2,53+2,53+2,53+2,53+2,53+2,54+2,54+2,54+2,55+2,57+2,57+2,57+2,55+2,62+2,65+2,65+2,65+2,62+2,64+2,68+2,68+2,68+2,64+2,32
Ayman Ashraf,27,"LM,LW,CAM",Egypt,69,69,Left,1,3,3,Medium/ Medium,Normal,,,65,68,45,74,63,69,59,62,66,71,76,72,60,66,77,66,48,59,64,61,60,25,67,61,64,71,58,49,26,16,7,14,9,14,,,65+2,65+2,65+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,64+2,64+2,64+2,68+2,56+2,56+2,56+2,56+2,56+2,53+2,50+2,50+2,50+2,53+2,33
Daniel Hernández,28,"RM,CAM,ST",Colombia,69,69,Left,1,3,3,High/ Low,Lean,,,68,55,37,70,65,69,64,70,65,70,74,73,81,68,75,68,47,62,63,64,50,32,68,72,58,67,33,27,25,7,8,7,8,12,,"Flair,Technical Dribbler (CPU AI Only),Set Play Specialist",62+2,62+2,62+2,68+2,67+2,67+2,67+2,68+2,68+2,68+2,68+2,68+2,64+2,64+2,64+2,68+2,53+2,51+2,51+2,51+2,53+2,49+2,41+2,41+2,41+2,49+2,34
Mehdi Zeffane,26,"LB,RB,RM",Algeria,69,70,Right,1,3,3,Medium/ High,Lean,,,68,55,57,69,57,60,58,47,64,66,69,77,74,66,79,76,71,90,62,63,71,68,59,62,60,61,63,62,65,15,12,9,13,10,,,63+2,63+2,63+2,64+2,63+2,63+2,63+2,64+2,64+2,64+2,64+2,66+2,65+2,65+2,65+2,66+2,69+2,67+2,67+2,67+2,69+2,68+2,64+2,64+2,64+2,68+2,32
Tiago Abiola Delfim Almeida Ilori,26,CB,Portugal,69,73,Right,1,3,2,Medium/ Low,Lean,,,35,39,68,64,28,58,31,33,63,63,71,73,61,64,53,43,63,64,74,34,58,73,32,43,41,67,62,70,72,7,10,7,11,15,,,52+2,52+2,52+2,53+2,53+2,53+2,53+2,53+2,54+2,54+2,54+2,55+2,57+2,57+2,57+2,55+2,63+2,65+2,65+2,65+2,63+2,65+2,67+2,67+2,67+2,65+2,32
Moses Odubajo,25,"RWB,RB,LWB",England,69,73,Right,1,3,3,High/ Medium,Normal,,,61,61,63,66,31,70,47,42,62,67,79,85,77,63,77,64,74,60,71,60,69,67,60,68,51,63,70,73,70,14,10,6,13,14,,"Injury Prone,Long Shot Taker (CPU AI Only),Speed Dribbler (CPU AI Only)",64+2,64+2,64+2,67+2,66+2,66+2,66+2,67+2,66+2,66+2,66+2,66+2,65+2,65+2,65+2,66+2,67+2,67+2,67+2,67+2,67+2,68+2,69+2,69+2,69+2,68+2,31
Ricard Puig Martí,19,CM,Spain,69,89,Right,1,3,3,Medium/ Low,Lean,,,60,58,49,78,56,70,57,51,76,73,63,66,77,66,84,60,56,53,43,49,44,45,55,77,55,70,53,57,53,12,15,14,12,9,,,60+2,60+2,60+2,66+2,65+2,65+2,65+2,66+2,69+2,69+2,69+2,67+2,68+2,68+2,68+2,67+2,60+2,61+2,61+2,61+2,60+2,58+2,53+2,53+2,53+2,58+2,25
Miguel Ibarra,28,"RM,RWB,LM,CAM",United States,69,69,Right,1,3,3,High/ Medium,Normal,,,65,64,50,70,59,74,69,58,49,66,77,74,79,68,69,67,58,75,64,60,64,54,66,67,63,65,56,56,50,13,8,13,15,8,,Speed Dribbler (CPU AI Only),65+2,65+2,65+2,68+2,67+2,67+2,67+2,68+2,67+2,67+2,67+2,68+2,64+2,64+2,64+2,68+2,63+2,60+2,60+2,60+2,63+2,61+2,58+2,58+2,58+2,61+2,34
Alexis Rafael Pérez Fontanilla,24,"CB,LB",Colombia,69,75,Left,1,3,2,Medium/ Medium,Normal,,,62,29,65,60,19,54,29,27,53,58,70,71,61,65,69,39,78,61,77,36,77,67,41,45,40,62,64,70,65,16,8,13,12,12,,Dives Into Tackles (CPU AI Only),50+2,50+2,50+2,54+2,51+2,51+2,51+2,54+2,52+2,52+2,52+2,56+2,55+2,55+2,55+2,56+2,63+2,63+2,63+2,63+2,63+2,64+2,67+2,67+2,67+2,64+2,30
Diogo Alexis Rodrigues Coelho,25,CB,Portugal,69,73,Right,1,3,2,Medium/ Medium,Normal,,,41,27,70,56,27,39,32,31,48,54,63,62,55,65,56,46,85,61,78,21,56,69,30,30,49,52,69,69,66,13,9,13,9,9,,,47+2,47+2,47+2,44+2,44+2,44+2,44+2,44+2,44+2,44+2,44+2,47+2,48+2,48+2,48+2,47+2,59+2,60+2,60+2,60+2,59+2,62+2,67+2,67+2,67+2,62+2,31
Alfonso Cristián Parot Rojas,29,"LB,CB",Chile,69,69,Left,1,3,3,High/ Medium,Normal,,,65,48,71,66,40,68,59,44,60,63,68,71,69,61,56,53,71,71,80,59,83,71,59,55,49,66,50,76,77,13,11,8,10,12,,"Long Throw-in,Early Crosser",60+2,60+2,60+2,62+2,61+2,61+2,61+2,62+2,61+2,61+2,61+2,63+2,63+2,63+2,63+2,63+2,67+2,67+2,67+2,67+2,67+2,68+2,70+2,70+2,70+2,68+2,35
Daniel Sundgren,28,"RWB,CB",Sweden,69,69,Right,1,3,2,Medium/ Medium,Normal,,,64,44,57,66,38,60,54,29,60,63,71,73,66,63,68,62,58,80,64,48,87,66,63,52,69,65,69,68,67,14,6,7,10,10,,,58+2,58+2,58+2,60+2,60+2,60+2,60+2,60+2,60+2,60+2,60+2,62+2,61+2,61+2,61+2,62+2,67+2,66+2,66+2,66+2,67+2,67+2,66+2,66+2,66+2,67+2,34
Gonzalo Maroni,19,CAM,Argentina,69,84,Right,1,3,3,High/ Low,Lean,,,64,45,51,70,64,76,61,57,55,72,83,75,87,56,68,58,58,61,61,49,40,30,68,69,56,65,50,41,40,6,12,11,6,12,,,61+2,61+2,61+2,67+2,65+2,65+2,65+2,67+2,67+2,67+2,67+2,67+2,62+2,62+2,62+2,67+2,56+2,52+2,52+2,52+2,56+2,54+2,48+2,48+2,48+2,54+2,25
Harold Moukoudi,21,CB,France,69,80,Right,1,3,2,Medium/ Medium,Stocky,,,23,26,74,55,27,39,30,29,46,55,51,62,40,60,38,42,52,73,91,25,61,67,31,28,38,60,69,70,65,12,14,12,15,9,#Strength,"Injury Free,Power Header",47+2,47+2,47+2,41+2,43+2,43+2,43+2,41+2,43+2,43+2,43+2,44+2,48+2,48+2,48+2,44+2,57+2,61+2,61+2,61+2,57+2,60+2,68+2,68+2,68+2,60+2,27
Lucas Tagliapietra,28,CB,Brazil,69,71,Left,1,3,2,Medium/ Medium,Normal,,,28,23,72,61,28,42,27,26,44,50,49,53,31,62,35,38,56,68,90,21,76,71,24,32,36,65,58,71,66,10,11,9,12,6,#Strength,,44+2,44+2,44+2,40+2,41+2,41+2,41+2,40+2,42+2,42+2,42+2,44+2,49+2,49+2,49+2,44+2,57+2,62+2,62+2,62+2,57+2,59+2,68+2,68+2,68+2,59+2,34
Sam Gallagher,23,"ST,LM",England,69,77,Right,1,3,2,High/ Medium,Normal,,,63,68,75,50,71,67,54,43,48,61,62,69,65,67,55,76,67,66,75,61,66,44,66,55,61,59,38,41,43,12,11,16,13,8,,,67+2,67+2,67+2,63+2,63+2,63+2,63+2,63+2,60+2,60+2,60+2,61+2,56+2,56+2,56+2,61+2,54+2,51+2,51+2,51+2,54+2,53+2,53+2,53+2,53+2,53+2,29
Alexandre Henrique Gonçalves De Freitas,27,"LW,RW",Portugal,69,69,Left,1,3,3,Medium/ Medium,Lean,,,71,62,52,69,62,71,76,71,64,70,71,74,87,65,79,69,56,53,46,64,50,23,64,68,69,68,23,28,31,6,14,12,11,14,,"Diver,Injury Prone,Flair,Set Play Specialist,Takes Finesse Free Kicks",64+2,64+2,64+2,68+2,67+2,67+2,67+2,68+2,68+2,68+2,68+2,67+2,62+2,62+2,62+2,67+2,51+2,48+2,48+2,48+2,51+2,48+2,40+2,40+2,40+2,48+2,33
Alejandro López Moreno,21,CM,Spain,69,78,Right,1,3,3,Medium/ Medium,Normal,,,47,55,45,76,44,67,50,40,72,73,61,69,65,68,75,52,54,63,56,51,50,58,66,65,45,61,60,57,49,14,8,7,12,9,,,60+2,60+2,60+2,64+2,65+2,65+2,65+2,64+2,67+2,67+2,67+2,65+2,67+2,67+2,67+2,65+2,61+2,63+2,63+2,63+2,61+2,59+2,57+2,57+2,57+2,59+2,27
Markus Schubert,20,GK,Germany,69,81,Right,1,3,1,Medium/ Medium,Normal,,,12,8,10,41,8,23,14,13,30,30,46,30,44,66,45,15,72,28,56,9,23,16,4,52,12,35,13,11,10,72,67,58,64,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
Justin Hoogma,20,CB,Netherlands,69,80,Left,1,3,2,Medium/ Medium,Lean,,,28,23,58,69,30,45,37,33,71,70,67,65,63,68,60,47,54,67,76,24,68,71,32,34,35,63,67,72,69,11,13,14,7,9,,,48+2,48+2,48+2,49+2,49+2,49+2,49+2,49+2,51+2,51+2,51+2,52+2,58+2,58+2,58+2,52+2,62+2,68+2,68+2,68+2,62+2,64+2,68+2,68+2,68+2,64+2,26
Juan José Narváez,24,"LM,CM,ST",Colombia,69,74,Right,1,3,3,Medium/ Medium,Normal,,,52,74,67,73,60,72,44,42,71,71,74,76,66,63,71,63,68,67,71,70,38,58,66,60,59,51,65,61,52,10,12,12,11,14,,,69+2,69+2,69+2,68+2,69+2,69+2,69+2,68+2,69+2,69+2,69+2,68+2,67+2,67+2,67+2,68+2,63+2,63+2,63+2,63+2,63+2,63+2,61+2,61+2,61+2,63+2,30
Ezequiel Rescaldani,26,ST,Argentina,69,72,Left,1,2,2,Medium/ Medium,Normal,,,43,69,78,68,64,62,47,59,42,65,37,36,47,68,32,76,30,63,93,67,34,35,70,52,70,58,27,32,22,14,15,14,9,13,#Strength,"Avoids Using Weaker Foot,Power Header,Target Forward",67+2,67+2,67+2,58+2,63+2,63+2,63+2,58+2,60+2,60+2,60+2,57+2,58+2,58+2,58+2,57+2,46+2,48+2,48+2,48+2,46+2,44+2,46+2,46+2,46+2,44+2,32
